Time,Place,Latitude,Longitude,Depth,Mag
2023-01-11T08:39:52.972Z,"36 km NW of Port-Olry, Vanuatu",-14.7776,166.8713,15.0,5.8
2023-01-10T05:24:49.026Z,"16 km ENE of Port-Olry, Vanuatu",-15.0023,167.2176,113.039,5.7
2023-01-09T17:47:35.038Z,"Pulau Pulau Tanimbar, Indonesia",-7.0652,130.0047,105.14,7.6
2023-01-08T12:32:42.368Z,Vanuatu,-14.9464,166.8808,29.0,7.0
2023-01-06T11:52:37.478Z,south of the Fiji Islands,-24.7523,-179.9677,498.56,5.9
2023-01-05T14:25:53.152Z,"45 km S of Jurm, Afghanistan",36.4617,70.7387,205.293,6.0
2023-01-03T18:19:25.559Z,central Mid-Atlantic Ridge,0.8249,-29.2413,10.0,5.5
2023-01-03T14:53:33.655Z,Balleny Islands region,-65.4071,178.8954,10.0,5.6
2023-01-03T13:09:08.155Z,Balleny Islands region,-65.1572,179.3624,10.0,5.5
2023-01-01T18:26:42.771Z,southern East Pacific Rise,-56.27,-123.4668,10.0,5.8
2023-01-01T18:24:29.845Z,"10 km E of Jayapura, Indonesia",-2.527,140.8105,13.715,5.5
2022-12-28T16:34:20.266Z,southeast of the Loyalty Islands,-21.2543,171.3886,10.0,6.1
2022-12-27T01:00:46.392Z,Tonga region,-22.0141,-174.4863,10.0,5.5
2022-12-26T12:21:07.723Z,"66 km ENE of ?d?grat, Ethiopia",14.521,40.0212,10.0,5.5
2022-12-26T05:27:53.482Z,Fiji region,-19.2301,-177.561,515.475,5.5
2022-12-24T08:35:41.508Z,"Bonin Islands, Japan region",28.2943,138.8056,519.989,5.5
2022-12-23T08:39:24.035Z,Pacific-Antarctic Ridge,-65.357,-179.7737,10.0,5.8
2022-12-22T13:13:55.515Z,"46 km NNE of Pucallpa, Peru",-7.9816,-74.4173,155.984,5.5
2022-12-20T16:38:41.339Z,south of the Kermadec Islands,-33.7962,-179.7541,39.0,5.6
2022-12-20T10:34:24.770Z,"15km WSW of Ferndale, CA",40.525,-124.423,17.91,6.4
2022-12-17T18:06:02.988Z,"25 km ESE of Miyazaki, Japan",31.7958,131.6429,30.0,5.6
2022-12-15T14:32:23.385Z,"40 km S of Puerto El Triunfo, El Salvador",12.9159,-88.5083,66.834,5.6
2022-12-14T18:40:26.898Z,"Rat Islands, Aleutian Islands, Alaska",51.6079,178.5971,73.0,6.3
2022-12-14T06:28:03.558Z,Balleny Islands region,-62.9382,155.8936,10.0,5.6
2022-12-13T14:25:17.214Z,"95 km S of Naze, Japan",27.5074,129.5492,19.0,5.6
2022-12-12T18:27:34.321Z,south of Panama,4.8488,-82.7665,10.0,5.5
2022-12-11T14:31:29.438Z,"Guerrero, Mexico",17.2004,-100.5405,18.0,6.0
2022-12-11T06:40:21.197Z,South Sandwich Islands region,-58.7309,-25.4268,32.0,5.6
2022-12-10T06:41:29.730Z,"20 km SSE of San Pedro de Atacama, Chile",-23.0906,-68.1419,117.0,5.6
2022-12-09T20:01:56.492Z,"6 km ESE of Nangan, Philippines",6.4472,126.1762,72.166,5.6
2022-12-09T06:32:59.635Z,"96 km NE of Cabatuan, Philippines",13.1588,125.8253,9.0,5.8
2022-12-08T14:45:26.269Z,Pacific-Antarctic Ridge,-63.1145,-163.6702,10.0,5.6
2022-12-08T10:06:35.567Z,Samoa Islands region,-14.9567,-173.0672,10.0,5.5
2022-12-08T06:42:15.112Z,"7 km E of Tsurib, Russia",42.236,46.9267,61.331,5.5
2022-12-08T00:50:55.572Z,"17 km NW of Ciranjang-hilir, Indonesia",-6.7109,107.1456,107.0,5.8
2022-12-06T06:07:48.037Z,"269 km S of Kencong, Indonesia",-10.7234,113.386,17.0,5.9
2022-12-06T05:57:59.099Z,southern East Pacific Rise,-34.1177,-112.4366,10.0,5.5
2022-12-05T16:19:23.716Z,"109 km NE of Hihifo, Tonga",-15.2285,-173.1022,39.0,5.6
2022-12-05T05:35:06.805Z,Santa Cruz Islands,-11.2727,166.2446,79.0,5.8
2022-12-04T19:24:15.394Z,"109 km NE of Hihifo, Tonga",-15.3497,-172.9867,38.0,6.8
2022-12-04T19:00:07.489Z,"279 km SSE of Isangel, Vanuatu",-21.6779,170.7032,138.685,5.5
2022-12-04T09:53:12.817Z,"34 km S of Lambaréné, Gabon",-1.0138,10.2364,10.0,5.5
2022-12-03T09:49:40.213Z,"20 km ESE of Banjar, Indonesia",-7.2331,107.6139,120.0,5.6
2022-12-02T12:35:11.060Z,Bouvet Island region,-53.9482,2.729,10.0,5.6
2022-11-30T15:17:41.697Z,southern Iran,26.8866,55.2391,6.0,5.7
2022-11-29T15:54:45.615Z,Reykjanes Ridge,53.8201,-35.1544,10.0,5.5
2022-11-28T02:51:23.655Z,"275 km SSW of Lajes das Flores, Portugal",37.0894,-32.4044,10.0,5.9
2022-11-27T14:04:10.400Z,Pacific-Antarctic Ridge,-55.0757,-128.5306,10.0,5.5
2022-11-27T02:50:53.458Z,Easter Island region,-24.8359,-112.1279,10.0,5.5
2022-11-25T13:46:54.249Z,Solomon Islands,-9.8314,159.7962,25.0,5.7
2022-11-23T01:08:15.435Z,"15 km W of Düzce, Turkey",40.8356,30.9831,10.0,6.1
2022-11-22T21:13:11.020Z,South Sandwich Islands region,-59.9253,-27.8646,119.121,5.5
2022-11-22T16:39:05.789Z,"28 km SW of Las Brisas, Mexico",30.7936,-116.3907,10.0,6.2
2022-11-22T02:37:57.529Z,Solomon Islands,-9.8203,159.4589,10.0,6.0
2022-11-22T02:13:03.111Z,"20 km WSW of Malango, Solomon Islands",-9.7898,159.554,10.0,5.6
2022-11-22T02:07:53.530Z,"35 km WSW of Malango, Solomon Islands",-9.7991,159.4073,10.0,5.5
2022-11-22T02:03:06.891Z,"18 km SW of Malango, Solomon Islands",-9.8198,159.6033,14.0,7.0
2022-11-21T15:09:29.003Z,"86 km SSE of Nikolski, Alaska",52.2913,-168.1639,13.217,5.5
2022-11-21T06:21:07.066Z,"11 km NE of Sukabumi, Indonesia",-6.836,106.9968,10.0,5.6
2022-11-20T23:24:58.462Z,"Crete, Greece",35.8357,26.4319,63.0,5.5
2022-11-19T00:49:38.441Z,southwest of Africa,-52.3135,13.7826,10.0,5.5
2022-11-18T13:37:08.687Z,"204 km SW of Bengkulu, Indonesia",-4.9043,100.7862,25.0,6.9
2022-11-17T11:21:29.823Z,"257 km ESE of Tadine, New Caledonia",-22.2473,170.2616,13.49,5.5
2022-11-16T22:26:52.703Z,"142 km SE of Lata, Solomon Islands",-11.7284,166.6162,138.0,5.8
2022-11-16T06:01:32.035Z,"197 km WSW of Bengkulu, Indonesia",-4.7623,100.7623,10.0,5.5
2022-11-14T15:01:52.857Z,Pacific-Antarctic Ridge,-64.0075,-167.855,10.0,5.6
2022-11-14T08:08:26.124Z,"85 km SSE of Toba, Japan",33.8139,137.3055,346.0,6.1
2022-11-14T05:04:11.890Z,south of the Fiji Islands,-26.0027,178.2034,630.185,6.1
2022-11-13T02:24:57.830Z,"Near the coast of Bio-Bio, Chile",-37.4652,-73.6757,18.0,6.2
2022-11-13T02:24:01.222Z,"Near the coast of Bio-Bio, Chile",-37.553,-73.7598,22.155,5.7
2022-11-12T04:39:46.329Z,"12 km E of La Gomera, Guatemala",14.1024,-90.94,93.543,5.8
2022-11-11T10:48:46.710Z,"205 km ESE of Neiafu, Tonga",-19.2881,-172.1471,37.0,7.3
2022-11-10T05:01:05.611Z,"16 km SSE of Shi Yomi, India",28.3835,94.4118,15.0,5.5
2022-11-09T09:51:04.068Z,south of the Fiji Islands,-26.0901,178.3427,660.0,7.0
2022-11-09T09:38:42.828Z,south of the Fiji Islands,-26.0077,178.2776,630.379,6.8
2022-11-09T06:07:26.657Z,central Italy,43.9315,13.3152,8.0,5.6
2022-11-08T20:27:22.316Z,Nepal,29.2917,81.1593,11.0,5.7
2022-11-06T00:03:12.098Z,"124 km N of Manado, Indonesia",2.5867,124.6644,231.0,5.6
2022-11-04T04:26:09.876Z,El Salvador,13.1449,-89.5573,43.0,5.7
2022-11-03T20:59:24.687Z,southern Mid-Atlantic Ridge,-41.0201,-16.6513,10.0,5.5
2022-11-02T14:17:53.832Z,South Sandwich Islands region,-60.7841,-25.7774,25.0,6.1
2022-11-02T04:53:13.239Z,North Pacific Ocean,31.5042,-133.351,10.0,6.0
2022-10-31T21:42:50.853Z,"12 km WSW of Tortora Marina, Italy",39.8773,15.6395,271.217,5.5
2022-10-31T13:22:44.105Z,"119 km N of Alianza Cristiana, Peru",-2.4103,-76.2393,149.348,5.6
2022-10-31T08:14:26.353Z,southeast of Easter Island,-39.2143,-92.4382,10.0,5.8
2022-10-29T00:09:47.791Z,"66 km WSW of Santiago, Peru",-14.5133,-76.2261,15.0,5.8
2022-10-28T20:22:05.733Z,"62 km SW of Santiago, Peru",-14.5218,-76.1705,14.0,5.9
2022-10-28T03:55:58.910Z,east of the North Island of New Zealand,-35.6283,-179.2027,43.0,5.5
2022-10-25T14:59:00.085Z,"11 km E of Dolores, Philippines",17.6609,120.8147,6.0,6.4
2022-10-24T07:51:00.581Z,"107 km NNE of Hihifo, Tonga",-15.1416,-173.2502,31.0,5.7
2022-10-20T11:57:12.575Z,"60 km SSW of Boca Chica, Panama",7.6901,-82.3342,20.0,6.7
2022-10-19T15:03:02.176Z,"81 km ENE of Georgetown, Saint Helena",-7.7427,-13.6947,10.0,5.8
2022-10-19T08:05:40.546Z,"6 km SW of Magsaysay, Philippines",6.7327,125.1351,34.0,5.5
2022-10-16T12:48:21.665Z,off the coast of Central America,4.3584,-87.5675,15.0,6.3
2022-10-13T22:20:20.620Z,"155 km ESE of Kokopo, Papua New Guinea",-4.812,153.5906,72.0,6.4
2022-10-10T19:24:39.976Z,"69 km E of Hualien City, Taiwan",23.9304,122.2867,15.0,5.5
2022-10-09T16:38:04.811Z,central Mid-Atlantic Ridge,-1.3636,-23.9041,10.0,6.2
2022-10-08T14:42:18.440Z,Pacific-Antarctic Ridge,-54.1838,-132.953,10.0,5.7
2022-10-07T09:24:52.516Z,"99 km NE of Hihifo, Tonga",-15.2451,-173.2323,10.0,5.5
2022-10-05T08:26:19.474Z,"1 km S of Huangala, Peru",-4.8548,-80.5995,35.0,5.8
2022-10-05T00:21:29.702Z,"8 km SE of Khowy, Iran",38.5064,45.0259,15.0,5.6
2022-10-02T19:00:22.031Z,"69 km E of La Rivera, Mexico",23.4994,-108.9089,10.0,5.7
2022-10-02T13:05:39.494Z,South Sandwich Islands region,-57.7374,-25.381,23.0,5.7
2022-10-02T07:32:25.031Z,Mid-Indian Ridge,-37.9271,77.9202,10.0,5.7
2022-10-01T16:36:49.716Z,"102 km SSW of Manuel Ávila Camacho (Ponte Duro), Mexico",14.9867,-94.0236,22.848,5.5
2022-10-01T15:02:32.377Z,"26 km SE of Kushima, Japan",31.3495,131.4691,31.0,5.7
2022-10-01T01:18:53.386Z,Reykjanes Ridge,53.7049,-35.5074,10.0,6.0
2022-09-30T19:28:40.152Z,"41 km NNE of Sibolga, Indonesia",2.1277,98.9004,18.363,5.9
2022-09-29T22:59:01.286Z,southeast of the Loyalty Islands,-22.9136,172.2913,11.0,5.7
2022-09-29T22:22:36.730Z,"78 km SE of Mawlaik, Myanmar",23.1002,94.8968,150.0,5.6
2022-09-29T03:03:24.073Z,east of the South Sandwich Islands,-60.8308,-20.025,11.0,6.5
2022-09-28T22:34:46.906Z,northern East Pacific Rise,8.4887,-102.8023,10.0,5.5
2022-09-26T09:59:56.330Z,Reykjanes Ridge,53.992,-35.2307,10.0,5.8
2022-09-23T22:53:27.870Z,"156 km WNW of Ancud, Chile",-41.3788,-75.5767,20.0,6.1
2022-09-23T20:52:58.398Z,"37 km SSW of Meulaboh, Indonesia",3.8109,96.0514,42.181,6.2
2022-09-22T06:16:09.459Z,"55 km SSW of Aguililla, Mexico",18.2633,-102.9554,20.0,6.8
2022-09-21T09:30:47.228Z,"136 km N of Lae, Papua New Guinea",-5.49,147.0059,191.0,5.7
2022-09-20T18:23:42.896Z,"254 km ESE of Ust’-Kamchatsk Staryy, Russia",55.5042,166.3282,10.0,6.0
2022-09-20T08:17:10.977Z,"20 km S of La Placita de Morelos, Mexico",18.3487,-103.6243,16.0,5.8
2022-09-19T18:05:08.217Z,"35 km SSW of Aguililla, Mexico",18.4552,-102.9561,26.943,7.6
2022-09-19T16:42:57.380Z,Mid-Indian Ridge,-36.9187,78.3274,10.0,5.9
2022-09-19T02:07:42.832Z,"68 km SSW of Hualien City, Taiwan",23.371,121.4499,9.0,5.5
2022-09-18T09:41:45.809Z,"165 km W of Lata, Solomon Islands",-10.7758,164.2895,10.0,5.7
2022-09-18T09:39:56.516Z,"80 km SE of Lugu, Taiwan",23.2178,121.2918,10.0,5.9
2022-09-18T08:09:58.854Z,"166 km W of Itoman, Japan",26.2583,126.0051,10.0,5.7
2022-09-18T06:44:13.846Z,"90 km E of Yujing, Taiwan",23.138,121.3439,10.0,6.9
2022-09-18T05:19:17.747Z,"87 km E of Yujing, Taiwan",23.0986,121.3134,11.0,5.6
2022-09-17T14:45:27.429Z,Taiwan region,22.9547,121.2227,10.0,5.5
2022-09-17T13:41:17.890Z,"96 km SE of Lugu, Taiwan",23.1191,121.4138,10.0,6.5
2022-09-16T23:58:17.087Z,southeast of the Loyalty Islands,-22.2506,171.0023,45.0,5.5
2022-09-14T11:04:06.558Z,"209 km SSE of Isangel, Vanuatu",-21.1909,170.2666,137.0,7.0
2022-09-14T05:08:04.523Z,"283 km SSE of Ta`?, American Samoa",-16.7075,-168.8394,8.0,5.8
2022-09-12T08:14:39.695Z,"160 km E of Pondaguitan, Philippines",6.1524,127.6087,10.0,5.7
2022-09-11T09:06:51.529Z,Fiji region,-20.9669,-178.9761,633.807,5.5
2022-09-10T23:47:00.233Z,"70 km E of Kainantu, Papua New Guinea",-6.2944,146.5038,116.0,7.6
2022-09-10T23:24:00.499Z,"179 km WSW of Pariaman, Indonesia",-1.2041,98.618,10.0,5.7
2022-09-10T23:10:43.721Z,"173 km WSW of Pariaman, Indonesia",-1.149,98.654,20.0,6.0
2022-09-10T00:05:12.947Z,"260 km ESE of Biak, Indonesia",-2.2313,138.1784,21.0,6.2
2022-09-09T23:44:11.525Z,"262 km ESE of Biak, Indonesia",-2.2644,138.1792,30.0,5.9
2022-09-09T23:31:47.409Z,"Papua, Indonesia",-2.2492,138.1979,18.0,6.2
2022-09-08T07:36:23.175Z,"45 km SW of Lixoúri, Greece",37.8942,20.0987,10.482,5.5
2022-09-07T06:07:48.663Z,southern East Pacific Rise,-54.4629,-119.5824,10.0,5.9
2022-09-06T12:14:07.949Z,South Sandwich Islands region,-56.5257,-25.7614,15.0,5.7
2022-09-06T08:32:40.507Z,South Sandwich Islands region,-56.5739,-25.7663,11.0,5.9
2022-09-05T04:52:19.645Z,"44 km SE of Kangding, China",29.6786,102.236,12.0,6.6
2022-09-04T23:57:31.734Z,southern East Pacific Rise,-56.0375,-124.478,10.0,6.2
2022-09-04T09:42:18.219Z,central Mid-Atlantic Ridge,-0.9339,-21.7155,10.0,6.9
2022-09-02T22:39:51.520Z,"110 km WNW of Kandrian, Papua New Guinea",-5.6524,148.7121,125.0,6.1
2022-08-30T08:00:00.603Z,Pacific-Antarctic Ridge,-54.7581,-136.25,10.0,5.5
2022-08-29T18:10:52.537Z,south of the Kermadec Islands,-32.6275,-179.1382,53.665,5.7
2022-08-29T12:55:57.259Z,"23 km NNE of Yigo Village, Guam",13.7441,144.9427,127.34,5.7
2022-08-29T12:19:38.362Z,"126 km ENE of Naze, Japan",28.8646,130.6526,28.0,5.5
2022-08-29T03:29:13.691Z,"173 km WSW of Pariaman, Indonesia",-0.988,98.6046,17.0,6.2
2022-08-28T22:34:37.140Z,"Kepulauan Mentawai region, Indonesia",-1.0173,98.6652,43.0,5.7
2022-08-28T18:48:02.094Z,Fiji region,-21.7744,-176.9215,223.0,5.6
2022-08-23T18:41:30.082Z,Balleny Islands region,-62.1554,161.4426,10.0,5.9
2022-08-23T14:31:39.374Z,"119 km S of Pagar Alam, Indonesia",-5.0926,103.079,45.258,6.2
2022-08-21T10:28:01.017Z,"50 km NW of Bahía de Caráquez, Ecuador",-0.2372,-80.6958,13.0,5.5
2022-08-19T07:12:43.133Z,southern Mid-Atlantic Ridge,-20.3966,-11.6091,10.0,5.5
2022-08-18T07:46:27.625Z,"Minahasa, Sulawesi, Indonesia",0.3574,124.3718,173.104,5.5
2022-08-17T12:56:31.898Z,"171 km N of Metinaro, Timor Leste",-7.0024,125.4656,480.972,5.5
2022-08-17T04:24:44.961Z,"261 km SSE of Katsuura, Japan",33.1235,141.7775,10.0,5.6
2022-08-16T07:09:49.051Z,Macquarie Island region,-54.8013,158.6041,10.0,5.5
2022-08-14T13:44:19.694Z,south of the Kermadec Islands,-32.7361,-179.0088,30.0,6.6
2022-08-14T08:20:00.340Z,"194 km NNE of Nagqu, China",33.1157,92.7977,5.0,5.7
2022-08-14T03:11:52.365Z,"29 km SSW of Luganville, Vanuatu",-15.7828,167.1018,21.0,5.8
2022-08-14T02:47:46.891Z,"157 km NW of Ternate, Indonesia",1.7974,126.3859,30.0,5.7
2022-08-13T18:57:15.821Z,"86 km NNE of Lae, Papua New Guinea",-5.9982,147.2807,45.0,5.9
2022-08-13T13:02:35.260Z,"28 km S of Luganville, Vanuatu",-15.7756,167.1322,20.0,5.7
2022-08-13T06:25:32.230Z,"Moro Gulf, Mindanao, Philippines",6.9062,123.792,19.913,5.8
2022-08-09T12:59:40.550Z,Banda Sea,-6.7235,129.9544,149.0,5.6
2022-08-09T10:37:41.447Z,"Off the coast of Aisen, Chile",-44.5957,-80.078,10.0,5.7
2022-08-08T05:37:16.133Z,"142 km SSW of Kokopo, Papua New Guinea",-5.5115,151.7362,32.0,5.6
2022-08-07T13:40:42.835Z,"109 km E of Shikotan, Russia",43.7392,148.0852,61.92,5.9
2022-08-05T04:38:39.387Z,"Kermadec Islands, New Zealand",-30.3148,-177.6858,16.0,5.8
2022-08-04T03:39:45.898Z,"Izu Islands, Japan region",32.6119,142.5292,11.525,5.7
2022-08-02T21:11:42.144Z,"268 km E of Levuka, Fiji",-18.1856,-178.1483,536.317,5.6
2022-07-31T13:42:15.318Z,"16 km SE of Pasni, Pakistan",25.1448,63.5694,27.11,5.6
2022-07-29T23:05:42.964Z,"264 km SE of Vilyuchinsk, Russia",51.1629,160.9755,7.0,5.6
2022-07-29T13:01:12.614Z,"14 km E of Mugur-Aksy, Russia",50.3804,90.6346,7.0,5.5
2022-07-28T18:28:22.160Z,"eastern New Guinea region, Papua New Guinea",-7.0524,146.7654,10.362,5.8
2022-07-28T04:15:03.913Z,"22 km NW of Tocopilla, Chile",-21.9311,-70.3386,54.0,6.1
2022-07-27T18:58:58.306Z,"Antofagasta, Chile",-22.1876,-68.5789,112.0,6.2
2022-07-27T17:29:20.451Z,south of the Fiji Islands,-26.9952,-176.4446,14.0,5.5
2022-07-27T16:16:46.849Z,south of the Fiji Islands,-23.5097,-179.6752,535.0,5.7
2022-07-27T09:36:49.319Z,"24 km SE of Neiafu, Tonga",-18.7923,-173.8095,11.054,5.6
2022-07-27T00:43:26.871Z,"11 km NE of Bantay, Philippines",17.5207,120.8181,33.729,7.0
2022-07-25T13:33:28.666Z,"9 km N of San Gabriel, Ecuador",0.676,-77.8293,2.544,5.7
2022-07-23T16:09:06.681Z,"69 km NE of Bandar-e Lengeh, Iran",26.9783,55.3932,11.0,5.6
2022-07-22T11:31:45.949Z,"55 km S of Isangel, Vanuatu",-20.042,169.2669,71.0,5.5
2022-07-21T17:07:25.226Z,"53 km S of K?ng Tung, Myanmar",21.1504,99.8777,5.0,5.9
2022-07-18T18:40:33.197Z,"215 km W of Longyearbyen, Svalbard and Jan Mayen",78.5816,6.214,10.0,5.9
2022-07-17T23:20:46.729Z,Easter Island region,-22.4454,-114.2308,10.0,5.6
2022-07-15T19:37:22.791Z,"Off the coast of Aisen, Chile",-44.6215,-79.6496,24.499,6.4
2022-07-14T22:30:11.448Z,"11 km SW of Samborondón, Ecuador",-2.0369,-79.7903,73.0,5.7
2022-07-14T17:50:27.142Z,"16 km WNW of Port-Olry, Vanuatu",-15.0115,166.9262,20.0,5.8
2022-07-12T23:36:12.967Z,"3 km SW of La Capilla, Peru",-16.7782,-71.2091,24.937,5.5
2022-07-12T19:16:58.460Z,Easter Island region,-22.5907,-114.2583,10.0,6.8
2022-07-12T02:04:52.235Z,"141 km SSW of Gataivai, Samoa",-14.8908,-173.0297,10.0,5.7
2022-07-12T00:35:05.019Z,"118 km NE of Hihifo, Tonga",-15.2502,-172.9633,10.0,5.8
2022-07-11T22:23:33.499Z,"136 km NE of Hihifo, Tonga",-14.9761,-173.0223,10.0,5.6
2022-07-11T21:10:47.785Z,"82 km ESE of Port-Vila, Vanuatu",-18.1404,168.9678,10.0,6.0
2022-07-11T21:06:03.879Z,"89 km ESE of Port-Vila, Vanuatu",-18.1242,169.0534,10.0,5.7
2022-07-10T22:19:58.098Z,Mariana Islands region,18.8235,147.0352,8.0,5.7
2022-07-08T23:43:29.293Z,"Pagan region, Northern Mariana Islands",18.8211,146.9402,10.0,5.9
2022-07-08T23:36:06.595Z,"Pagan region, Northern Mariana Islands",18.8957,146.9699,10.0,5.8
2022-07-06T15:12:28.560Z,"131 km W of Castro, Chile",-42.2963,-75.3571,10.0,5.5
2022-07-02T01:59:45.250Z,"58 km SSE of Shebunino, Russia",45.9178,142.0358,309.0,5.9
2022-07-01T23:24:13.113Z,southern Iran,26.8843,55.2572,7.0,5.7
2022-07-01T21:32:07.977Z,"52 km NE of Bandar-e Lengeh, Iran",26.9061,55.2389,16.0,6.0
2022-06-30T18:40:36.938Z,"49 km NNE of Namuac, Philippines",19.0236,121.3363,30.0,6.0
2022-06-26T02:02:34.927Z,"108 km S of Atico, Peru",-17.177,-73.7809,9.03,5.7
2022-06-25T03:37:14.329Z,"31 km NE of K?sh, Iran",26.7341,54.2683,12.0,5.6
2022-06-24T09:49:57.313Z,Pacific-Antarctic Ridge,-56.5304,-143.7625,10.0,5.7
2022-06-24T00:27:24.801Z,southeast of Easter Island,-41.1577,-89.8977,10.0,5.6
2022-06-24T00:00:17.867Z,southern East Pacific Rise,-21.3935,-110.1627,10.0,5.8
2022-06-23T02:04:30.689Z,"115 km NW of Alotau, Papua New Guinea",-9.4793,149.8333,10.0,5.5
2022-06-22T05:01:19.152Z,"142 km N of Ruteng, Indonesia",-7.3221,120.4333,499.8,5.6
2022-06-21T20:54:34.410Z,"55 km SW of Kh?st, Afghanistan",33.0203,69.4639,4.0,6.0
2022-06-21T07:14:53.666Z,"Bonin Islands, Japan region",27.8624,142.7323,10.0,5.9
